accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1964.010,Furniture,0.66796416,0.7013996,0.9150095,0.46321478,0.7805598,351,458,168,283
1964.010,Lighting,0.57096684,0.3022256,0.41250226,0.061699864,0.29736134,151,206,22,108
1964.010,Furniture,0.5594582,0.23417735,0.42413545,0.40196356,0.72749394,117,212,146,264
1964.010,Furniture,0.5495288,0.09744672,0.26231733,0.43370906,0.787579,49,131,157,286
1964.011,House,0.61527073,0.10236096,0.47127032,0.16092858,0.5466464,51,236,61,207
1964.013,Painting,0.6426173,0.07143975,0.93492514,0.057386618,0.91987497,36,467,18,285
1964.013,Animal,0.63343155,0.42921236,0.563394,0.5009387,0.6883114,215,282,155,213
1964.013,Animal,0.57391524,0.290656,0.48153338,0.67178965,0.8920204,145,241,208,277
1964.014,Building,0.6113986,0.08104924,0.9374612,0.062641054,0.88049054,33,377,31,440
1964.015,Bridge,0.81212544,0.07964478,0.922765,0.3859166,0.655464,40,461,151,256
1964.016,Picture frame,0.75494826,0.05582313,0.95806384,0.041326713,0.9118223,28,479,16,354
1964.016,House,0.63891834,0.2408237,0.9065196,0.14713117,0.72199845,120,453,57,280
1964.018,Building,0.5493525,0.12768981,0.85531735,0.26778287,0.67534226,64,428,106,267
1964.018,Picture frame,0.5430046,0.044441804,0.95440626,0.08770523,0.905811,22,477,35,358
1964.020,2D barcode,0.7828651,0.429878,0.5589153,0.4621259,0.6777675,215,279,184,270
1964.020,2D barcode,0.51595294,0.30693206,0.415395,0.47137895,0.70268536,153,208,188,280
1965.002,Person,0.74556434,0.0502386,0.9474702,0.10507822,0.9103487,50,947,132,1145
1965.002,Clothing,0.7254681,0.05207175,0.94266635,0.43690386,0.9098737,52,942,550,1145
1965.003,Scarf,0.5932558,0.0122250905,0.9797352,0.027370604,0.9571449,16,1318,27,956
1966.001,Person,0.525945,0.19276147,0.7683692,0.28679946,0.74104387,193,768,294,760
1966.002,Person,0.7602017,0.32219473,0.6661735,0.488068,0.96520257,161,333,185,366
1966.002,Animal,0.68816763,0.07943662,0.9071154,0.031179825,0.48002902,40,454,12,182
1966.004,Person,0.6000963,0.051719245,0.97937775,0.023194997,0.9920764,52,979,27,1134
1966.005,Person,0.74239767,0.055416077,0.8700807,0.021856582,0.9973958,55,870,30,1354
1966.011,Person,0.790878,0.28851297,0.67353797,0.4124404,0.874795,385,898,412,875
1966.011,Luggage & bags,0.58723754,0.20048203,0.37980673,0.67737937,0.88214177,267,506,677,882
1966.011,Dress,0.55630314,0.28592053,0.66784,0.43216646,0.87753755,381,890,432,878
1966.011,Mirror,0.5341614,0.018355338,0.9250372,0.024212264,0.92035913,24,1233,24,920
1968.002,Person,0.6785933,0.043845255,0.9372475,0.0144073,0.9952771,57,1214,14,994
1968.002,Hat,0.5920712,0.03917836,0.87824565,0.03849591,0.98385185,51,1137,38,983
1968.012,Person,0.59339815,0.21711123,0.3992659,0.23562247,0.71541816,217,399,328,995
1968.012,Person,0.50904995,0.51708907,0.656644,0.22857125,0.6917818,517,656,318,962
1969.005,Person,0.68268895,0.035239924,0.84843606,0.050696865,0.9403066,35,848,68,1265
1969.007,Person,0.66092676,0.5038603,0.9561741,0.3567239,0.94032735,504,956,525,1384
1969.007,Person,0.60347253,0.04970914,0.53590316,0.39416125,0.77102923,50,536,580,1135
1969.007,Clothing,0.5634733,0.4965311,0.954771,0.4154651,0.9322462,497,955,612,1372
1969.007,Clothing,0.5219858,0.06492891,0.5420821,0.4488835,0.75846535,65,542,661,1116
1969.010,Person,0.54221475,0.30316567,0.5510779,0.13380636,0.3019215,303,551,182,410
1969.015,Painting,0.7271037,0.005742904,0.9813364,0.035241976,0.96975976,3,542,6,157
1969.072,Pillow,0.5594036,0.037149947,0.9719119,0.010245128,0.9919994,37,972,13,1229
1969.072,Person,0.5019064,0.46632728,0.9616166,0.5110003,0.98297065,466,962,633,1218
1969.075,Person,0.8581993,0.057463903,0.9216853,0.029921638,0.920347,21,332,14,444
1969.077,Person,0.803736,0.21540833,0.48146155,0.46080175,0.8004582,215,481,611,1061
1969.077,Person,0.73462427,0.49569377,0.7977507,0.15038742,0.82103485,496,798,199,1089
1969.077,Clothing,0.6920629,0.540636,0.75968736,0.28758964,0.6474059,541,760,381,858
1969.077,Clothing,0.62091917,0.21670233,0.48511642,0.47803107,0.7887328,217,485,634,1046
1969.079,Pillow,0.52739024,0.0,0.99566764,0.0017224281,0.99202305,0,1356,2,992
1970.003,Animal,0.7399618,0.029763592,0.9503605,0.019822964,0.98604983,8,244,7,337
1970.006,Pillow,0.5863009,0.039267298,0.9731266,0.025642736,0.9788464,39,973,35,1334
1970.009,Animal,0.6847755,0.3500136,0.6305515,0.4661559,0.7134164,350,630,584,894
1970.009,Animal,0.56525344,0.49082446,0.7032563,0.13534282,0.3270038,490,703,170,410
1970.009,Packaged goods,0.5164875,0.04854622,0.95900553,0.029101148,0.9507101,48,958,36,1191
1970.011,Animal,0.7782596,0.73179775,0.9789026,0.04177743,0.9626584,1078,1442,42,962
1970.011,Animal,0.77550805,0.45802233,0.70333725,0.047077432,0.9551606,675,1036,47,954
1970.011,Animal,0.76591134,0.25980085,0.47187856,0.071770556,0.9457901,383,695,72,945
1970.011,Animal,0.7483057,0.033904176,0.264729,0.05927366,0.94194555,50,390,59,941
1970.011,Animal,0.72444123,0.6390353,0.7786549,0.29335663,0.9403776,941,1147,293,939
1970.012,Person,0.7545526,0.017785573,0.9278975,0.042771783,0.95664245,25,1326,43,957
1970.013,Animal,0.7785152,0.02452372,0.93209606,0.06251363,0.8957703,25,932,94,1350
1970.014,Animal,0.5899662,0.05909805,0.7063225,0.16172017,0.4375373,80,959,162,438
1970.014,Person,0.5446803,0.033462953,0.974304,0.03084792,0.9574141,45,1323,31,957
1970.015,Person,0.7416005,0.06736416,0.9100301,0.053551804,0.97659093,97,1317,54,977
1970.020,Horse,0.9653616,0.24462424,0.42220142,0.7050306,0.8461287,339,585,705,846
1970.020,Horse,0.9562196,0.42930338,0.6320793,0.6358399,0.87363225,595,875,636,874
1970.020,Animal,0.8143713,0.7093368,0.8048242,0.7486102,0.90456325,982,1115,749,905
1970.020,Animal,0.78270483,0.61873406,0.72964525,0.7286717,0.896357,857,1011,729,896
1970.020,Animal,0.64458823,0.8602936,0.9529414,0.5484115,0.8018953,1192,1320,548,802
1970.020,Animal,0.60022455,0.05684367,0.18038863,0.7399654,0.8553379,79,250,740,855
1970.020,Animal,0.58590233,0.03162927,0.10481792,0.69618535,0.8536642,44,145,696,854
1970.020,Animal,0.5834406,0.8070796,0.8948564,0.40159902,0.5265077,1118,1239,402,527
1970.021,Packaged goods,0.75959355,0.0361907,0.97403175,0.017463597,0.9701863,36,974,24,1332
1970.023,Scarf,0.84195256,0.018788991,0.89001966,0.0090677915,0.9393399,19,889,10,989
1970.024,Scarf,0.7760333,0.049528804,0.9277904,0.043547418,0.9561787,50,928,45,981
1970.034,Packaged goods,0.5775945,0.042034578,0.97240925,0.0037600275,0.956974,42,972,5,1276
1970.035,Hat,0.70443887,0.3453468,0.79226834,0.0,0.8984608,345,792,0,1316
1970.042,Building,0.70562834,0.35871395,0.7182582,0.14056596,0.7288201,491,984,141,729
1970.042,Building,0.51220113,0.035269767,0.33335963,0.5102647,0.71137744,48,457,510,711
1970.044,Hat,0.68281484,0.03323782,0.9733231,0.009528226,0.9941855,49,1431,10,994
1970.047,Animal,0.592821,0.61534107,0.95576215,0.061801985,0.837835,615,956,91,1234
1970.051,Person,0.6571709,0.34396088,0.9728072,0.039174583,0.99119145,344,973,50,1274
1970.051,Person,0.6504296,0.007201941,0.49705353,0.12150053,0.97149974,7,497,156,1248
1970.056,Hat,0.5193727,0.092223056,0.9851496,0.063921295,0.91782206,92,985,73,1053
1971.009,Animal,0.6782872,0.02608403,0.96843505,0.037142336,0.9685946,33,1208,37,969
1971.014,Hat,0.57432175,0.43735242,0.59791404,0.01308056,0.13292734,437,598,17,170
1971.019,Person,0.56187546,0.08296717,0.21036434,0.736669,0.9146821,83,210,1082,1344
1971.019,Wheel,0.5256582,0.7468589,0.8886458,0.8297705,0.9194841,747,889,1219,1351
1971.043,Animal,0.8119976,0.43142045,0.5177025,0.6554276,0.8607397,600,720,655,861
1971.043,Animal,0.7855993,0.54074347,0.6952736,0.68812555,0.8488421,752,967,688,849
1971.043,Animal,0.7667808,0.29563388,0.35497177,0.6101746,0.77713424,411,494,610,777
1971.043,Animal,0.6444227,0.7230044,0.8079853,0.7241118,0.82652473,1006,1124,724,827
1971.043,Animal,0.6280163,0.8530546,0.91611713,0.61675406,0.7630729,1187,1274,617,763
1971.043,Animal,0.5882545,0.12883863,0.21299708,0.44873372,0.6346387,179,296,449,635
1971.043,Animal,0.57299894,0.22759505,0.29401022,0.44720578,0.6391978,317,409,447,639
1971.043,Animal,0.5704827,0.7088666,0.8368394,0.6020818,0.676356,986,1164,602,676
1971.050,Person,0.7670996,0.74634457,0.9751707,0.1651916,0.90517753,1094,1430,165,905
1971.050,Person,0.7523999,0.6212036,0.7129094,0.11811534,0.28433922,911,1045,118,284
1971.050,Person,0.7169511,0.5620726,0.7003508,0.2610811,0.55526286,824,1027,261,555
1971.050,Person,0.70430285,0.29751948,0.47277486,0.2623376,0.81267583,436,693,262,813
1971.050,Person,0.66138697,0.10453168,0.28067762,0.24817438,0.95483017,153,411,248,955
1971.050,Person,0.6514028,0.42162988,0.7693048,0.46672067,0.9254203,618,1128,467,925
1971.050,Person,0.63132733,0.019136792,0.18032943,0.23018013,0.93762904,28,264,230,938
1971.050,Person,0.59445626,0.23243456,0.34261894,0.3089037,0.79257303,341,502,309,793
1971.050,Clothing,0.593854,0.5587576,0.70142174,0.29150918,0.5697602,819,1028,292,570
1971.050,Clothing,0.5854068,0.12929319,0.28135213,0.31735143,0.92694616,190,412,317,927
1971.056,Animal,0.63554794,0.70990235,0.9563677,0.024475217,0.23963772,1219,1642,24,240
1971.056,Animal,0.6280485,0.24622558,0.37615874,0.12381073,0.26204243,423,646,124,262
1971.056,Boat,0.60042983,0.3939201,0.5724878,0.4403144,0.7222862,676,983,440,722
1971.056,Animal,0.5975544,0.4089421,0.6450309,0.017341642,0.21027301,702,1108,17,210
1971.067,Necklace,0.7823025,0.3559351,0.6594728,0.341239,0.4647965,356,659,473,644
1971.067,Person,0.71485746,0.113305874,0.97310454,0.056025047,0.95937675,113,973,78,1329
1972.010,Building,0.71307516,0.36769626,0.9308742,0.039058734,0.4078991,368,931,51,536
1972.010,Building,0.5513741,0.6172424,0.8295162,0.43602955,0.54761386,617,830,573,719
1972.014,Building,0.7895043,0.10240948,0.92211324,0.0058233384,0.8586788,102,921,8,1139
1972.015,Animal,0.6970818,0.5813815,0.78224206,0.69255894,0.7662549,581,781,1085,1201
1972.015,Animal,0.69316405,0.32014075,0.5918183,0.3542073,0.5884942,320,591,555,922
1972.015,Animal,0.6866192,0.49767807,0.95183784,0.3339016,0.7271605,497,951,523,1139
1972.015,Animal,0.6469154,0.71980554,0.84510034,0.7738231,0.8498134,719,844,1213,1332
1972.015,Animal,0.62354153,0.561029,0.70486027,0.7369375,0.808703,560,704,1155,1267
1972.015,Animal,0.6123197,0.40139616,0.50807375,0.20872219,0.3151047,401,508,327,494
1972.015,Animal,0.5982748,0.56399137,0.6539435,0.119802006,0.2881503,563,653,188,452
1972.015,Animal,0.5944976,0.15949279,0.53115374,0.4924719,0.7035952,159,531,772,1103
1972.015,Animal,0.58799434,0.018990183,0.33289137,0.029725485,0.47254255,19,333,47,740
1972.015,Animal,0.5850209,0.53715765,0.6695444,0.09669462,0.17854184,537,669,152,280
1972.067,Person,0.6354373,0.22739553,0.4562424,0.35606673,0.5654567,227,456,528,839
1972.067,Animal,0.60513186,0.3453206,0.55225605,0.09035181,0.19406025,345,552,134,288
1972.067,Person,0.60390246,0.40657568,0.6504901,0.35674384,0.5798599,407,650,529,861
1972.067,Person,0.5824651,0.39595747,0.5228668,0.28636235,0.4230133,396,523,425,628
1972.067,Person,0.5722438,0.0012811945,0.3583046,0.4170818,0.9366851,1,358,619,1390
1972.067,Person,0.52172583,0.5983674,0.9873583,0.3698236,0.91549456,598,987,549,1359
1972.079,Person,0.73353016,0.13284774,0.92258,0.05857213,0.9167308,133,923,81,1275
1972.079,Headphones,0.5018045,0.13563679,0.46849692,0.7687076,0.9325864,136,468,1069,1297
1973.003,Painting,0.88731754,0.04603086,0.94223315,0.03320613,0.9576044,17,339,16,457
1973.004,Pear,0.8575422,0.11552616,0.8523249,0.3253383,0.94333506,38,278,164,475
1973.007,Picture frame,0.5461182,0.03847828,0.9611525,0.044985738,0.9730108,38,960,62,1348
1973.024,Packaged goods,0.66372615,0.031642403,0.9387975,0.070579454,0.9279218,32,938,96,1268
1973.026,Packaged goods,0.7318826,0.020523546,0.9698474,0.022868857,0.99007154,21,978,23,989
1974.003,Clock,0.5895784,0.005122519,0.99017906,0.025412606,0.9741252,5,989,32,1223
1974.004,Scarf,0.8140668,0.03967622,0.9855623,0.019179812,0.9551783,40,992,19,955
1974.005,Packaged goods,0.79935884,0.04691526,0.953147,0.04840072,0.99290633,63,1271,48,993
1974.006,Animal,0.62714666,0.03026322,0.13916077,0.26447886,0.6553286,38,173,264,655
1974.006,Animal,0.5797399,0.6022994,0.7462714,0.80395,0.9481227,750,929,803,947
1974.008,Picture frame,0.52504593,0.07369969,0.9028017,0.085422285,0.9435381,118,1444,85,944
1974.009,Picture frame,0.7119907,0.064294316,0.9333537,0.06357114,0.936919,100,1449,64,937
1974.011,Packaged goods,0.71020114,0.07928788,0.93758225,0.05513586,0.9216361,127,1502,55,922
